model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,annotation_wang,annotation_tsvilodub,target,incorrect_literal,incorrect_lexical_overlap,incorrect_social_convention
google/flan-t5-xl,0.1,deceits,greedy,,0,1,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?


Your answer:
",He wants to be productive.,error,error,He does not want to get into trouble for not studying. ,He has been reading for some time.,He wants his mom to believe that he has been watching TV.,He does not want to offend his mom by not reading the books that she gave him. 
google/flan-t5-xl,0.1,deceits,greedy,,0,2,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?


Your answer:
",Robert is grateful for the gift.,incorrect_literal,incorrect_literal,He does not want to hurt Monica by saying that he dislikes the gift.,He likes the gift very much.,He wants Monica to understand that he dislikes her gift.,He does not like to celebrate his birthday and wants it to be over with. 
google/flan-t5-xl,0.1,deceits,greedy,,0,3,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?


Your answer:
",He is trying to make his mother feel better.,target,target,Dan does not want his mom to be angry with him for breaking the vase.,Dan thinks that the dog has knocked over the vase.,Dan wants his mom to know that he knocked it over.,Dan finds this vase ugly and wants to get rid of it.
google/flan-t5-xl,0.1,deceits,greedy,,0,4,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Peter's mother wants them to start eating healthier, and tells him that they will eat boiled sprouts tonight. Peter tells his mother: ""I don't think I can eat, I have a terrible stomach-ache.” Why has Peter responded in such a way?


Your answer:
",Peter is sick.,incorrect_literal,incorrect_literal,He wants to avoid eating boiled sprouts.,He is experiencing some severe stomach pain.,He wants to have boiled sprouts every night.,He does not want to get in trouble with mom for eating boiled sprouts.
google/flan-t5-xl,0.1,deceits,greedy,,0,5,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Today is Mandy's birthday. Her aunt has a big box with her and Mandy feels sure it will contain a pet rabbit for her. But when she opens it, she finds a fish bowl with a goldfish. When her aunt asks her whether she likes the gift, Mandy says: ""It's just what I wanted!” Why has Mandy responded in such a way?


Your answer:
",She is happy with the gift.,incorrect_literal,incorrect_literal,She does not want to hurt her aunt by showing that she is upset with the present.,She is very much fond of goldfish.,She wants her aunt to know that this is not the present that she wanted.,She thinks that she can return a goldfish to the pet store and get a refund.
google/flan-t5-xl,0.1,deceits,greedy,,0,6,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Marika baked an apple pie today. She spent the whole afternoon in the kitchen trying to follow the recipe, and told her friend Lars about the time it took. Marika gives Lars a piece of her pie. Lars takes a big bite but doesn't finish the slice. Later in the day, Marika asks: ""Do you like my apple pie?"", Lars says: ""Oh, yes, it was really tasty.” Why has Lars responded in such a way?


Your answer:
",Lars is a friend of Marika.,target,target,He does not want Marika to feel bad about her mediocre baking skills.,He likes the unusual taste of Marika's pie.,He dislikes the unusual taste of Marika's pie.,He wants Marika to know what a great baker she is. 
google/flan-t5-xl,0.1,deceits,greedy,,0,7,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It was Christmas Eve, and Sally was in her bedroom. She overheard her mother talking about picking up Sally's computer at the Apple store earlier that day. The next morning the family opened their Christmas presents. After Sally opened her present, her mother asked her, ""Sally, are you surprised?"" Sally answered, ""Yes, I had no idea I was going to get a MacBook!” Why has Sally responded in such a way?


Your answer:
",She was excited about her present.,error,incorrect_social_convention,Sally didn't want to admit that she had overheard her mother and spoiled the surprise.,Sally forgot that the computer was the present that she heard about last night., Sally thought that the conversation was about someone else's present.,Sally wanted to confess that she overheard the conversation and spoiled the surprise.
google/flan-t5-xl,0.1,deceits,greedy,,0,8,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Oscar had tickets to see a hockey game with his buddies, so he called in sick at work. At the game, Oscar was having so much fun that he didn't notice his boss sitting a few rows behind him. The next day at work, the boss called Oscar into his office. He asked Oscar, ""Did you get a lot of rest yesterday?"" Oscar replied, ""Yes, the day of bed rest cured me.” Why has Oscar responded in such a way?


Your answer:
",He was sick and wanted to go to the game.,incorrect_literal,incorrect_literal,He did not want to get in trouble with his boss by admitting that he lied to him.,He did spend some time resting in bed.,He realized that the boss was at the game and saw him.,He wanted to be honest with his boss.
google/flan-t5-xl,0.1,deceits,greedy,,0,9,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Ed's birthday and he is an avid rollerblader. He mentioned to his aunt that his rollerblades have gotten quite worn out. When he opens his birthday gift from her, he finds a pair of socks. Ed says to his aunt, ""Thank you for such a great gift.” Why has Ed responded like this?


Your answer:
",Ed is grateful for the gift.,incorrect_literal,incorrect_literal,He does not want to show that he is disappointed with the gift so that he doesn't offend his aunt.,He likes the socks that his aunt gave him.,He wants his aunt to realize that he expected to get a different gift.,He realizes that rollerblading is unsafe and is happy that he did not get rollerblades.
google/flan-t5-xl,0.1,deceits,greedy,,0,10,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Hiroshi and Taro are very close friends and they usually play together. Taro takes very good care of all his toys. One day Hiroshi was careless and broke Taro's remote control car. Taro said to Hirosho, ""Don't worry about it, I don't care.” Why has Taro responded like this?


Your answer:
",Taro is very careful with his toys.,error,incorrect_lexical_overlap,Friendship was more important for Taro than a broken remote control car., This was one of Taro's oldest remote control cars that he did not like too much,Taro wanted Hiroshi to feel bad for breaking his toy.,Taro was sad because he liked this toy.
