model_name,temperature,seed,item_id,phenomenon,prompt,paraphrase
microsoft/phi-2,0.1,0,1,deceits,"Please paraphrase the sentence.

Example:

He does not want to get into trouble for not studying. -- He does not want to have issues because he did not study. 
Lucy thought that that Mary's jokes were hilarious. -- She found Mary's jokes very funny.
Annie wants Mary to know that the date was a disaster. -- Annie wants to tell Mary that the date did not go well.
Jim missed Mike's presentation and had no idea whether Mike was nervous or not. -- Jim did not attend Mike's presentation and didn't know whether he felt confident.
He does not want to get into trouble for not studying.  --"," He does not want to have issues because he did not study.
Lucy thought that that Mary's jokes were hilarious. -- She found Mary's jokes very funny.
Annie wants Mary to know that the date was a disaster. -- Annie wants to tell Mary that the date did not go well.
Jim"
microsoft/phi-2,0.1,0,1,deceits,"Please paraphrase the sentence.

Example:

He does not want to get into trouble for not studying. -- He does not want to have issues because he did not study. 
Lucy thought that that Mary's jokes were hilarious. -- She found Mary's jokes very funny.
Annie wants Mary to know that the date was a disaster. -- Annie wants to tell Mary that the date did not go well.
Jim missed Mike's presentation and had no idea whether Mike was nervous or not. -- Jim did not attend Mike's presentation and didn't know whether he felt confident.
He has been reading for some time. --"," He has been reading for a while.

Exercise:

Rewrite the following sentences using the correct form of the verb.

Example:

I am going to the store. -- I will go to the store.

1. She is singing a song.
2. They are"
microsoft/phi-2,0.1,0,1,deceits,"Please paraphrase the sentence.

Example:

He does not want to get into trouble for not studying. -- He does not want to have issues because he did not study. 
Lucy thought that that Mary's jokes were hilarious. -- She found Mary's jokes very funny.
Annie wants Mary to know that the date was a disaster. -- Annie wants to tell Mary that the date did not go well.
Jim missed Mike's presentation and had no idea whether Mike was nervous or not. -- Jim did not attend Mike's presentation and didn't know whether he felt confident.
He wants his mom to believe that he has been watching TV. --"," He wants his mom to think that he has been watching TV.

Exercise:

1. Rewrite the following sentence using a paraphrase:

The cat is sleeping on the couch.

Answer:

The feline is resting on the sofa.

2. Rewrite the"
microsoft/phi-2,0.1,0,1,deceits,"Please paraphrase the sentence.

Example:

He does not want to get into trouble for not studying. -- He does not want to have issues because he did not study. 
Lucy thought that that Mary's jokes were hilarious. -- She found Mary's jokes very funny.
Annie wants Mary to know that the date was a disaster. -- Annie wants to tell Mary that the date did not go well.
Jim missed Mike's presentation and had no idea whether Mike was nervous or not. -- Jim did not attend Mike's presentation and didn't know whether he felt confident.
He does not want to offend his mom by not reading the books that she gave him.  --"," He does not want to upset his mom by not reading the books she gave him.

Rewritten:

Question:

He does not want to offend his mom by not reading the books that she gave him.  -- He does not want to upset his mom by not reading the books she gave him"
microsoft/phi-2,0.1,0,2,deceits,"Please paraphrase the sentence.

Example:

He does not want to get into trouble for not studying. -- He does not want to have issues because he did not study. 
Lucy thought that that Mary's jokes were hilarious. -- She found Mary's jokes very funny.
Annie wants Mary to know that the date was a disaster. -- Annie wants to tell Mary that the date did not go well.
Jim missed Mike's presentation and had no idea whether Mike was nervous or not. -- Jim did not attend Mike's presentation and didn't know whether he felt confident.
He does not want to hurt Monica by saying that he dislikes the gift. --"," He does not want to upset Monica by telling her that he doesn't like the present.

Exercise:

Rewrite the following sentence using a contraction.

Example:

I am going to the store. -- I'm going to the store.

1. She is not happy with"
microsoft/phi-2,0.1,0,2,deceits,"Please paraphrase the sentence.

Example:

He does not want to get into trouble for not studying. -- He does not want to have issues because he did not study. 
Lucy thought that that Mary's jokes were hilarious. -- She found Mary's jokes very funny.
Annie wants Mary to know that the date was a disaster. -- Annie wants to tell Mary that the date did not go well.
Jim missed Mike's presentation and had no idea whether Mike was nervous or not. -- Jim did not attend Mike's presentation and didn't know whether he felt confident.
He likes the gift very much. --"," He really enjoys the gift.

Exercise:

Rewrite the following sentence using a contraction.

Example:

I am going to the store. -- I'm going to the store.

1. They will not be able to attend the meeting.
2. She is not feeling"
microsoft/phi-2,0.1,0,2,deceits,"Please paraphrase the sentence.

Example:

He does not want to get into trouble for not studying. -- He does not want to have issues because he did not study. 
Lucy thought that that Mary's jokes were hilarious. -- She found Mary's jokes very funny.
Annie wants Mary to know that the date was a disaster. -- Annie wants to tell Mary that the date did not go well.
Jim missed Mike's presentation and had no idea whether Mike was nervous or not. -- Jim did not attend Mike's presentation and didn't know whether he felt confident.
He wants Monica to understand that he dislikes her gift. --"," He wants Monica to realize that he does not like her present.

Exercise:

Rewrite the following sentences using the given form.

1. The dog barked at the mailman.
2. The teacher gave the students a quiz.
3. The boy ate his vegetables.
"
microsoft/phi-2,0.1,0,2,deceits,"Please paraphrase the sentence.

Example:

He does not want to get into trouble for not studying. -- He does not want to have issues because he did not study. 
Lucy thought that that Mary's jokes were hilarious. -- She found Mary's jokes very funny.
Annie wants Mary to know that the date was a disaster. -- Annie wants to tell Mary that the date did not go well.
Jim missed Mike's presentation and had no idea whether Mike was nervous or not. -- Jim did not attend Mike's presentation and didn't know whether he felt confident.
He does not like to celebrate his birthday and wants it to be over with.  --"," He does not enjoy celebrating his birthday and wants it to be finished.

(b) Write a sentence that uses a pronoun to replace a noun that has already been mentioned in the conversation.

Example:

He said that he was going to the library. -- He said that he was going to the"
microsoft/phi-2,0.1,0,3,deceits,"Please paraphrase the sentence.

Example:

He does not want to get into trouble for not studying. -- He does not want to have issues because he did not study. 
Lucy thought that that Mary's jokes were hilarious. -- She found Mary's jokes very funny.
Annie wants Mary to know that the date was a disaster. -- Annie wants to tell Mary that the date did not go well.
Jim missed Mike's presentation and had no idea whether Mike was nervous or not. -- Jim did not attend Mike's presentation and didn't know whether he felt confident.
Dan does not want his mom to be angry with him for breaking the vase. --"," Dan does not want his mother to be upset with him for breaking the vase.

Exercise:

1. Rewrite the following sentence using a contraction:

I am going to the store.

Answer: I'm going to the store.

2. Rewrite the following sentence"
microsoft/phi-2,0.1,0,3,deceits,"Please paraphrase the sentence.

Example:

He does not want to get into trouble for not studying. -- He does not want to have issues because he did not study. 
Lucy thought that that Mary's jokes were hilarious. -- She found Mary's jokes very funny.
Annie wants Mary to know that the date was a disaster. -- Annie wants to tell Mary that the date did not go well.
Jim missed Mike's presentation and had no idea whether Mike was nervous or not. -- Jim did not attend Mike's presentation and didn't know whether he felt confident.
Dan thinks that the dog has knocked over the vase. --"," He believes that the dog has caused the vase to fall.

Exercise:

Rewrite the following sentence using a different word order.

Example:

The cat is sleeping on the couch. -- On the couch, the cat is sleeping.

1. The sun is shining brightly"
