model_name;temperature;phenomenon;decoding_scheme;question;seed;item_id;prompt;response;response_option;target;competitor;distractor_associate;distractor_nonsequitur
google/flan-t5-xl;9;irony;greedy;;0;1;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 


Your answer:
";She looks fantastic in the dress she is trying on.;competitor;Lara needs to get a dress of a shorter length.;The dress is fitting well.;Simon does not like the color of this dress.;"Simon has to get back to work.
"
google/flan-t5-xl;9;irony;greedy;;0;2;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?


Your answer:
";he wants Shane to follow instructions;target;Shane was not paying attention when Christian was talking.;Shane was paying attention when Christian was talking.;Shane's hearing improved greatly.;Shane needs to see an eye doctor.
google/flan-t5-xl;9;irony;greedy;;0;3;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 


Your answer:
";He loves Phil despite the fact that he shoots as well as he does.;competitor;Phil's basketball skills could be better.;Phil is a great basketball player.;Phil's blocking is impressive.;Phil is a great student.
google/flan-t5-xl;9;irony;greedy;;0;4;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Patrick and Jon like to eat at restaurants. One afternoon, they are at a restaurant eating lunch. Patrick orders a bowl of noodles and Jon orders a rice dish. While eating his meal, Patrick spills some noodles on his shirt. Jon says, ""You are so graceful."" What did Jon want to convey?


Your answer:
";He is impressed with Patrick's eating manners.;competitor;Patrick is careless.;Patrick is very cautious.;Patrick is allergic to noodles.;Patrick pays a lot of attention to fashion.
google/flan-t5-xl;9;irony;greedy;;0;5;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Today Sarah and Tom are going to the beach to go swimming and sunbathing. It was Tom's idea, as he said it was going to be a lovely sunny day to go to the beach. But just as they arrive at the beach, it starts to rain and thunder. Sarah becomes angry. She says ""Oh yes, a lovely day for going to the beach."" What did Sarah want to convey?


Your answer:
";She wishes she hadn't gone.;target;Tom's idea to go to the beach was awful.;Tom's idea to go to the beach was genius.;Tom forgot his sunscreen.;Tom forgot his passport.
google/flan-t5-xl;9;irony;greedy;;0;6;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

It is a holiday. Stefan and Kim are sitting in the backseat of the car. They are fighting all the time. Their father says: ""Oh, it is so pleasant here."" What did the father want to convey?


Your answer:
";He is happy that the kids are behaving themselves.;competitor;He does not want to listen to his kids' arguments.;He enjoys listening to his kids fighting.;AC gives them some needed cool.;He remembers about his wife's birthday.
google/flan-t5-xl;9;irony;greedy;;0;7;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Kim and Jane are leaving the football stadium. Jane says, ""What a wonderful game."" Kim looks disappointed. Kim replies: ""Sorry I made you come."" What did Jane want to convey?


Your answer:
";Her opinion;target;The game was a disaster.;The game was outstanding.;The game ended too late.;The game of chess was over.
google/flan-t5-xl;9;irony;greedy;;0;8;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark entered a golf tournament where he played badly and kept missing very easy shots. His friend Hal watched the tournament and afterwards he said to Mark, ""You sure are a good golfer."" What did Hal want to convey?


Your answer:
";He felt wrong;target;Mark isn't a good player.;Mark is an exceptional player.;Mark forgot to thank his caddy.;Mark forgot to thank his dentist.
google/flan-t5-xl;9;irony;greedy;;0;9;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Adrian's mother asks if he can look in his brother Tom's room to check if he has tidied up. Adrian opens the door to Tom's room, peers in, and sees that the room appears as it normally does - cluttered with toys and dirty clothes. He shouts to his mother: ""Mother, Tom, as usual, has done a splendid job tidying up!"" What did Adrian want to convey?


Your answer:
";Why Tom usually doesn't tidy up;target;Tom's room is still messy.;Tom tidied up his room.;Tom cannot find a vacuum.;Tom cannot find a lawyer.
google/flan-t5-xl;9;irony;greedy;;0;10;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Callie promised to bring a salad to Jason's dinner party. She arrived two hours late. Jason said, ""I'm so glad that you were able to fit us into your busy schedule."" What did Jason want to convey?


Your answer:
";He felt sorry for Callie.;competitor;He is annoyed that Callie showed up late.;He is happy that Callie made it to the party.;He is hungry and wants to eat Callie's salad.;He is tired and is going to bed.
google/flan-t5-xl;9;irony;greedy;;0;11;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

John is a teacher at an elementary school. When talking with the principal about a new student, who did poorly on her entrance examination, John said, ""This one is really sharp."" What did John want to convey?


Your answer:
";She's hard to teach.;target;The student is not very clever.;The student is smart.;The entrance exam is unfair.;The pencils need to be sharpened.
