model_name,temperature,seed,item_id,task,prompt,prior_prompt,question_number,question,item,item_type,correct1,correct2,correct3,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
microsoft/phi-2,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question,Did Laura look at all of today's letters?,Critical,Partial,No,Yes,Over50,A,Yes,Yes,Yes,A,"tensor([-0.8154, -1.9606])","[tensor(0.4425), tensor(0.1408)]",tensor([-6.1659]),"tensor([-0.9981, -1.5262])","[tensor(0.3686), tensor(0.2174)]",0.062288478,0.29162177443504333,0.08011247,0.77751285,-2.7759788,-1.3879894018173218,1.0996921
microsoft/phi-2,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question,Did Laura look at all of today's letters?,Critical,Partial,No,Yes,Over50,B,No,No,No,B,"tensor([-0.8154, -7.0543])","[tensor(0.4425), tensor(0.0009)]",tensor([-7.4080]),"tensor([-0.9981, -4.7840])","[tensor(0.3686), tensor(0.0084)]",0.00038213798,0.221666157245636,0.0030821238,0.123985276,-7.869729,-3.9348645210266113,1.3610418
microsoft/phi-2,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question2,Did Laura say that some of today's letters had checks inside?,Critical,Partial,No,Yes,Over50,A,Yes,No,No,A,"tensor([-0.7981, -1.7463])","[tensor(0.4502), tensor(0.1744)]",tensor([-6.1659]),"tensor([-1.0500, -1.6405])","[tensor(0.3499), tensor(0.1939)]",0.07852214,0.31230542063713074,0.067844175,1.1573895,-2.5443747,-1.272187352180481,0.94567376
microsoft/phi-2,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question2,Did Laura say that some of today's letters had checks inside?,Critical,Partial,No,Yes,Over50,B,No,Yes,Yes,B,"tensor([-0.7981, -5.4885])","[tensor(0.4502), tensor(0.0041)]",tensor([-7.4080]),"tensor([-1.0500, -4.8827])","[tensor(0.3499), tensor(0.0076)]",0.0018611471,0.22716273367404938,0.0026512367,0.70199203,-6.286562,-3.1432809829711914,1.0596408
microsoft/phi-2,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. More than 50 percent
B. Less than 50 percent
Your answer:
",Question3,Estimate (in percent) how likely it is that all 3 of the letters have checks inside.,Critical,Partial,No,Yes,Over50,A,Less than 50 percent,More than 50 percent,More than 50 percent,A,"tensor([-0.8519, -1.7024])","[tensor(0.4266), tensor(0.1823)]",tensor([-6.1659]),"tensor([-1.1045, -1.6710])","[tensor(0.3314), tensor(0.1881)]",0.07774777,0.30442386865615845,0.06232022,1.2475529,-2.5542853,-1.2771426439285278,0.9203075
microsoft/phi-2,0.1,0,5,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Letters to Laura's company almost always have checks inside. Today Laura needs to find out whether 3 of the letters have checks inside. Laura tells you on the phone: I have now looked at 2 of the 3 letters, and given what I saw, I can tell you that some of today's letters have checks inside.

Choose one of the following options and return the label of that option.
A. More than 50 percent
B. Less than 50 percent
Your answer:
",Question3,Estimate (in percent) how likely it is that all 3 of the letters have checks inside.,Critical,Partial,No,Yes,Over50,B,More than 50 percent,Less than 50 percent,Less than 50 percent,B,"tensor([-0.8519, -5.3196])","[tensor(0.4266), tensor(0.0049)]",tensor([-7.4080]),"tensor([-1.1045, -5.8350])","[tensor(0.3314), tensor(0.0029)]",0.0020881582,0.21574564278125763,0.00096872303,2.1555781,-6.1714725,-3.0857362747192383,0.88932115
microsoft/phi-2,0.1,0,8,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question,Did Zach check all of today's tickets? ,Critical,Full,Yes,Yes,Under50,A,Yes,No,No,A,"tensor([-0.9590, -1.8929])","[tensor(0.3833), tensor(0.1506)]",tensor([-6.1659]),"tensor([-1.0718, -1.4813])","[tensor(0.3424), tensor(0.2273)]",0.057732064,0.26694852113723755,0.07783767,0.74169827,-2.8519425,-1.425971269607544,1.1170379
microsoft/phi-2,0.1,0,8,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.

Choose one of the following options and return the label of that option.
A. No
B. Yes
Your answer:
",Question,Did Zach check all of today's tickets? ,Critical,Full,Yes,Yes,Under50,B,No,Yes,Yes,B,"tensor([-0.9590, -7.1976])","[tensor(0.3833), tensor(0.0007)]",tensor([-7.4080]),"tensor([-1.0718, -4.9422])","[tensor(0.3424), tensor(0.0071)]",0.00028682742,0.19200651347637177,0.0024441266,0.117353745,-8.15663,-4.078314781188965,1.3562584
microsoft/phi-2,0.1,0,8,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question2,Did Zach say that some of today's tickets have won? ,Critical,Full,Yes,Yes,Under50,A,Yes,Yes,Yes,A,"tensor([-1.1107, -1.9234])","[tensor(0.3293), tensor(0.1461)]",tensor([-6.1659]),"tensor([-1.0345, -1.3694])","[tensor(0.3554), tensor(0.2543)]",0.048115864,0.23771117627620697,0.09036313,0.5324723,-3.0341434,-1.5170717239379883,1.2621655
microsoft/phi-2,0.1,0,8,Scalar_Implicatures,"You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.","You will read a short story that describes an everyday situation. Your task is to answer a question about the story.

Tickets in the DoubleDay instant lottery almost always win. Today Zach needs to check whether 3 of the tickets have won. Zach tells you on the phone: I have now checked 3 of the 3 tickets, and given what I saw, I can tell you that some of today's tickets have won.

Choose one of the following options and return the label of that option.
A. Yes
B. No
Your answer:
",Question2,Did Zach say that some of today's tickets have won? ,Critical,Full,Yes,Yes,Under50,B,No,No,No,B,"tensor([-1.1107, -6.6890])","[tensor(0.3293), tensor(0.0012)]",tensor([-7.4080]),"tensor([-1.0345, -4.9084])","[tensor(0.3554), tensor(0.0074)]",0.00040982987,0.1652783304452896,0.0026241932,0.15617366,-7.7997684,-3.8998842239379883,1.3124335
