model_name,seed,item_id,phenomenon,prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,cosine_sims,choice_probs_rounded,chosen_option
meta-llama/Llama-2-7b-hf,0,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,0.0786,0.459,competitor
meta-llama/Llama-2-7b-hf,0,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,0.2434,0.541,competitor
meta-llama/Llama-2-7b-hf,0,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,0.06046,0.4526,competitor
meta-llama/Llama-2-7b-hf,0,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,0.2517,0.548,competitor
meta-llama/Llama-2-7b-hf,0,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,incoherent,competitor,A,0.2195,0.541,competitor
meta-llama/Llama-2-7b-hf,0,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,coherent,target,B,0.05426,0.4587,competitor
meta-llama/Llama-2-7b-hf,0,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,0.0826,0.4485,competitor
meta-llama/Llama-2-7b-hf,0,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,0.2888,0.5513,competitor
meta-llama/Llama-2-7b-hf,0,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,0.06018,0.4548,competitor
meta-llama/Llama-2-7b-hf,0,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,0.2407,0.545,competitor
meta-llama/Llama-2-7b-hf,0,6,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He turned on the TV for a weather report.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,0.073,0.4526,competitor
meta-llama/Llama-2-7b-hf,0,6,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He turned on the TV for a weather report.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,0.2632,0.5474,competitor
meta-llama/Llama-2-7b-hf,0,7,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,coherent,target,coherent,target,A,0.07965,0.4473,competitor
meta-llama/Llama-2-7b-hf,0,7,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.Is this story coherent or not?
Your answer:
",Is this story coherent or not?,incoherent,competitor,incoherent,competitor,B,0.2915,0.5527,competitor
