model_name,item_id,seed,phenomenon,metric,dependent_variable
google/flan-t5-xl,1,0,coherence,label_score,1.0
google/flan-t5-xl,1,0,deceits,label_score,0.0
google/flan-t5-xl,1,0,humour,label_score,0.0
google/flan-t5-xl,1,0,indirect_speech,label_score,1.0
google/flan-t5-xl,1,0,irony,label_score,0.0
google/flan-t5-xl,1,0,maxims,label_score,0.0
google/flan-t5-xl,1,0,metaphor,label_score,0.0
google/flan-t5-xl,2,0,coherence,label_score,1.0
google/flan-t5-xl,2,0,deceits,label_score,0.0
google/flan-t5-xl,2,0,humour,label_score,0.0
google/flan-t5-xl,2,0,indirect_speech,label_score,0.0
google/flan-t5-xl,2,0,irony,label_score,1.0
google/flan-t5-xl,2,0,maxims,label_score,0.0
google/flan-t5-xl,2,0,metaphor,label_score,0.0
google/flan-t5-xl,3,0,coherence,label_score,1.0
google/flan-t5-xl,3,0,deceits,label_score,1.0
google/flan-t5-xl,3,0,humour,label_score,0.0
google/flan-t5-xl,3,0,indirect_speech,label_score,0.0
google/flan-t5-xl,3,0,irony,label_score,0.0
google/flan-t5-xl,3,0,maxims,label_score,1.0
google/flan-t5-xl,3,0,metaphor,label_score,1.0
google/flan-t5-xl,4,0,coherence,label_score,1.0
google/flan-t5-xl,4,0,deceits,label_score,0.0
google/flan-t5-xl,4,0,humour,label_score,0.0
google/flan-t5-xl,4,0,indirect_speech,label_score,1.0
google/flan-t5-xl,4,0,irony,label_score,0.0
google/flan-t5-xl,4,0,maxims,label_score,0.0
google/flan-t5-xl,4,0,metaphor,label_score,0.0
google/flan-t5-xl,5,0,coherence,label_score,1.0
google/flan-t5-xl,5,0,deceits,label_score,0.0
google/flan-t5-xl,5,0,humour,label_score,1.0
google/flan-t5-xl,5,0,indirect_speech,label_score,0.0
google/flan-t5-xl,5,0,irony,label_score,0.0
google/flan-t5-xl,5,0,maxims,label_score,0.0
google/flan-t5-xl,5,0,metaphor,label_score,0.0
google/flan-t5-xl,6,0,coherence,label_score,1.0
google/flan-t5-xl,6,0,deceits,label_score,0.0
google/flan-t5-xl,6,0,humour,label_score,0.0
google/flan-t5-xl,6,0,indirect_speech,label_score,0.0
google/flan-t5-xl,6,0,irony,label_score,0.0
google/flan-t5-xl,6,0,maxims,label_score,1.0
google/flan-t5-xl,6,0,metaphor,label_score,1.0
google/flan-t5-xl,7,0,coherence,label_score,1.0
google/flan-t5-xl,7,0,deceits,label_score,0.0
google/flan-t5-xl,7,0,humour,label_score,1.0
google/flan-t5-xl,7,0,indirect_speech,label_score,1.0
google/flan-t5-xl,7,0,irony,label_score,0.0
google/flan-t5-xl,7,0,maxims,label_score,0.0
google/flan-t5-xl,7,0,metaphor,label_score,0.0
google/flan-t5-xl,8,0,coherence,label_score,1.0
google/flan-t5-xl,8,0,deceits,label_score,0.0
google/flan-t5-xl,8,0,humour,label_score,1.0
google/flan-t5-xl,8,0,indirect_speech,label_score,1.0
google/flan-t5-xl,8,0,irony,label_score,0.0
google/flan-t5-xl,8,0,maxims,label_score,0.0
google/flan-t5-xl,8,0,metaphor,label_score,0.0
google/flan-t5-xl,9,0,coherence,label_score,1.0
google/flan-t5-xl,9,0,deceits,label_score,0.0
google/flan-t5-xl,9,0,humour,label_score,0.0
google/flan-t5-xl,9,0,indirect_speech,label_score,0.0
google/flan-t5-xl,9,0,irony,label_score,0.0
google/flan-t5-xl,9,0,maxims,label_score,0.0
google/flan-t5-xl,9,0,metaphor,label_score,1.0
google/flan-t5-xl,10,0,coherence,label_score,1.0
google/flan-t5-xl,10,0,deceits,label_score,1.0
google/flan-t5-xl,10,0,humour,label_score,0.0
google/flan-t5-xl,10,0,indirect_speech,label_score,1.0
google/flan-t5-xl,10,0,irony,label_score,0.0
google/flan-t5-xl,10,0,maxims,label_score,1.0
google/flan-t5-xl,10,0,metaphor,label_score,1.0
google/flan-t5-xl,11,0,coherence,label_score,1.0
google/flan-t5-xl,11,0,deceits,label_score,0.0
google/flan-t5-xl,11,0,humour,label_score,0.0
google/flan-t5-xl,11,0,indirect_speech,label_score,1.0
google/flan-t5-xl,11,0,irony,label_score,0.0
google/flan-t5-xl,11,0,maxims,label_score,0.0
google/flan-t5-xl,11,0,metaphor,label_score,1.0
google/flan-t5-xl,12,0,coherence,label_score,1.0
google/flan-t5-xl,12,0,deceits,label_score,0.0
google/flan-t5-xl,12,0,humour,label_score,0.0
google/flan-t5-xl,12,0,indirect_speech,label_score,1.0
google/flan-t5-xl,12,0,irony,label_score,1.0
google/flan-t5-xl,12,0,maxims,label_score,0.0
google/flan-t5-xl,12,0,metaphor,label_score,1.0
google/flan-t5-xl,13,0,coherence,label_score,1.0
google/flan-t5-xl,13,0,deceits,label_score,0.0
google/flan-t5-xl,13,0,humour,label_score,0.0
google/flan-t5-xl,13,0,indirect_speech,label_score,1.0
google/flan-t5-xl,13,0,irony,label_score,0.0
google/flan-t5-xl,13,0,maxims,label_score,0.0
google/flan-t5-xl,13,0,metaphor,label_score,1.0
google/flan-t5-xl,14,0,coherence,label_score,1.0
google/flan-t5-xl,14,0,deceits,label_score,1.0
google/flan-t5-xl,14,0,humour,label_score,0.0
google/flan-t5-xl,14,0,indirect_speech,label_score,1.0
google/flan-t5-xl,14,0,irony,label_score,1.0
google/flan-t5-xl,14,0,maxims,label_score,0.0
google/flan-t5-xl,14,0,metaphor,label_score,1.0
google/flan-t5-xl,15,0,coherence,label_score,1.0
google/flan-t5-xl,15,0,deceits,label_score,0.0
google/flan-t5-xl,15,0,humour,label_score,1.0
google/flan-t5-xl,15,0,indirect_speech,label_score,1.0
google/flan-t5-xl,15,0,irony,label_score,0.0
google/flan-t5-xl,15,0,maxims,label_score,0.0
google/flan-t5-xl,15,0,metaphor,label_score,1.0
google/flan-t5-xl,16,0,coherence,label_score,1.0
google/flan-t5-xl,16,0,deceits,label_score,0.0
google/flan-t5-xl,16,0,humour,label_score,0.0
google/flan-t5-xl,16,0,indirect_speech,label_score,1.0
