model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,response_option,target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,1,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. 

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence sets the scene of Mary's exam about to start, and the second sentence describes her physical reaction to the situation.",target,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,2,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent.",target,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,3,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence establishes a situation where a truck drives by the house, and the second sentence describes a consequence of that event, which is the dishes starting to rattle.",target,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,4,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.

Is this story coherent or not?
Your answer:
","
Not coherent.",competitor,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,5,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence suggests that Susan's baby is sick and she is concerned, and the second sentence shows her taking action by asking for the doctor's help.",target,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,6,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He turned on the TV for a weather report.

Is this story coherent or not?
Your answer:
","
Not coherent. The two sentences do not seem to be connected or related in any way.",competitor,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,7,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.

Is this story coherent or not?
Your answer:
","
Not coherent.",competitor,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,8,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. 

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence establishes that Cathy was working hard, and the second sentence explains the consequence of her hard work - becoming exhausted and needing to be taken to the hospital.",target,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,9,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

A dog ran toward a little girl eating ice cream. She was knocked down and shouted for her mother. 

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent.",target,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,10,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jane skipped her English class every now and then. She began to worry about her final exam.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. Skipping English class could potentially affect Jane's performance on her final exam, causing her to worry about it.",target,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,11,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Vicky was planning her first trip to Europe. She put her favorite bathing suit in her bag.

Is this story coherent or not?
Your answer:
","
Not coherent. The sentences do not seem to be related to each other and do not form a logical sequence of events.",competitor,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,12,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Dick tripped over a chair and hit his head. A mirror fell down and shattered on the floor. 

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence sets up the action of Dick tripping over a chair and hitting his head, and the second sentence continues the action by describing a mirror falling and shattering on the floor. Both events are connected",target,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,13,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The Senator wanted to practice corporate law. He decided not to run for re-election.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The Senator's decision to not run for re-election suggests that he has made a career change and wants to pursue corporate law instead.",target,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,14,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Joey got angry at his brother in a game. The next day his body was covered with bruises.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence sets up a conflict between Joey and his brother, and the second sentence provides a consequence of that conflict - Joey's body being covered with bruises.",target,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,15,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The rain storm was approaching the city. The papers on the desk blew off onto the floor.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence sets the scene of a rain storm approaching the city, and the second sentence describes a consequence of the storm - the papers on the desk blowing off onto the floor. Both sentences are related to the",target,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,16,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Greg was working too hard to have enough rest. His driving became more dangerous each day.

Is this story coherent or not?
Your answer:
","
Not coherent.",competitor,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,17,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Lisa commuted to her office an hour each way. She opened the paper to look at the apartment listing.

Is this story coherent or not?
Your answer:
","
Not coherent. The two sentences do not seem to be related or connected in any way.",competitor,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,18,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Richard remembered it was a big day for Karen. He spent the whole day shopping for a present.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent.",target,coherent
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,1,19,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jerry read the copy of his manuscript. The next day he yelled at his secretary.

Is this story coherent or not?
Your answer:
","
Not coherent.",competitor,coherent
