model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
google/flan-t5-xl,0.1,2,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-2.0937459468841553],[0.12322467709011652],[-3.409724473953247],[-2.26607084274292],[0.1037189084117353],0.12322467709011652,0.12322467709011652,0.1037189084117353,1.1880637675142967,-2.0937459468841553,-2.0937459468841553,0.9239543210175294
google/flan-t5-xl,0.1,2,1,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-2.0937459468841553],[0.12322467709011652],[-1.9873242378234863],[-2.26607084274292],[0.1037189084117353],0.12322467709011652,0.12322467709011652,0.1037189084117353,1.1880637675142967,-2.0937459468841553,-2.0937459468841553,0.9239543210175294
google/flan-t5-xl,0.1,2,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-3.0290119647979736],[0.048363399268304186],[-3.409724473953247],[-2.26607084274292],[0.1037189084117353],0.048363399268304186,0.048363399268304186,0.1037189084117353,0.4662929836892894,-3.0290119647979736,-3.0290119647979736,1.3366801724219561
google/flan-t5-xl,0.1,2,2,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-3.0290119647979736],[0.048363399268304186],[-1.9873242378234863],[-2.26607084274292],[0.1037189084117353],0.048363399268304186,0.048363399268304186,0.1037189084117353,0.4662929836892894,-3.0290119647979736,-3.0290119647979736,1.3366801724219561
google/flan-t5-xl,0.1,2,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-1.7389771938323975],[0.1757000158053908],[-3.409724473953247],[-2.26607084274292],[0.1037189084117353],0.1757000158053908,0.1757000158053908,0.1037189084117353,1.6940017832419763,-1.7389771938323975,-1.7389771938323975,0.7673975416088438
google/flan-t5-xl,0.1,2,3,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-1.7389771938323975],[0.1757000158053908],[-1.9873242378234863],[-2.26607084274292],[0.1037189084117353],0.1757000158053908,0.1757000158053908,0.1037189084117353,1.6940017832419763,-1.7389771938323975,-1.7389771938323975,0.7673975416088438
google/flan-t5-xl,0.1,2,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,1,target,coherent,target,1,[-1.860252857208252],[0.1556332723974642],[-3.409724473953247],[-1.6567403078079224],[0.19075978591860202],0.1556332723974642,0.1556332723974642,0.19075978591860202,0.815859965705107,-1.860252857208252,-1.860252857208252,1.1228391368527773
google/flan-t5-xl,0.1,2,4,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,2,competitor,incoherent,competitor,2,[-1.860252857208252],[0.1556332723974642],[-1.9873242378234863],[-1.6567403078079224],[0.19075978591860202],0.1556332723974642,0.1556332723974642,0.19075978591860202,0.815859965705107,-1.860252857208252,-1.860252857208252,1.1228391368527773
google/flan-t5-xl,0.1,2,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-1.9128541946411133],[0.14765833893918212],[-3.409724473953247],[-2.26607084274292],[0.1037189084117353],0.14765833893918212,0.14765833893918212,0.1037189084117353,1.4236395388295013,-1.9128541946411133,-1.9128541946411133,0.8441281528187959
google/flan-t5-xl,0.1,2,5,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-1.9128541946411133],[0.14765833893918212],[-1.9873242378234863],[-2.26607084274292],[0.1037189084117353],0.14765833893918212,0.14765833893918212,0.1037189084117353,1.4236395388295013,-1.9128541946411133,-1.9128541946411133,0.8441281528187959
google/flan-t5-xl,0.1,2,6,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He turned on the TV for a weather report.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,1,target,coherent,target,1,[-1.1473236083984375],[0.3174853484277488],[-3.409724473953247],[-1.6567403078079224],[0.19075978591860202],0.3174853484277488,0.3174853484277488,0.19075978591860202,1.6643201128524074,-1.1473236083984375,-1.1473236083984375,0.6925186783899114
google/flan-t5-xl,0.1,2,6,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He turned on the TV for a weather report.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,2,competitor,incoherent,competitor,2,[-1.1473236083984375],[0.3174853484277488],[-1.9873242378234863],[-1.6567403078079224],[0.19075978591860202],0.3174853484277488,0.3174853484277488,0.19075978591860202,1.6643201128524074,-1.1473236083984375,-1.1473236083984375,0.6925186783899114
google/flan-t5-xl,0.1,2,7,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,1,target,coherent,target,1,[-0.8674304485321045],[0.4200294510850306],[-3.409724473953247],[-1.6567403078079224],[0.19075978591860202],0.4200294510850306,0.4200294510850306,0.19075978591860202,2.201876297262458,-0.8674304485321045,-0.8674304485321045,0.5235765946202063
google/flan-t5-xl,0.1,2,7,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,2,competitor,incoherent,competitor,2,[-0.8674304485321045],[0.4200294510850306],[-1.9873242378234863],[-1.6567403078079224],[0.19075978591860202],0.4200294510850306,0.4200294510850306,0.19075978591860202,2.201876297262458,-0.8674304485321045,-0.8674304485321045,0.5235765946202063
google/flan-t5-xl,0.1,2,8,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-2.340350389480591],[0.09629389195188268],[-3.409724473953247],[-2.26607084274292],[0.1037189084117353],0.09629389195188268,0.09629389195188268,0.1037189084117353,0.9284121229816904,-2.340350389480591,-2.340350389480591,1.032779004670375
google/flan-t5-xl,0.1,2,8,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-2.340350389480591],[0.09629389195188268],[-1.9873242378234863],[-2.26607084274292],[0.1037189084117353],0.09629389195188268,0.09629389195188268,0.1037189084117353,0.9284121229816904,-2.340350389480591,-2.340350389480591,1.032779004670375
google/flan-t5-xl,0.1,2,9,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

A dog ran toward a little girl eating ice cream. She was knocked down and shouted for her mother. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-2.424243211746216],[0.08854510358665653],[-3.409724473953247],[-2.26607084274292],[0.1037189084117353],0.08854510358665653,0.08854510358665653,0.1037189084117353,0.8537026174162673,-2.424243211746216,-2.424243211746216,1.0698002754458635
google/flan-t5-xl,0.1,2,9,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

A dog ran toward a little girl eating ice cream. She was knocked down and shouted for her mother. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-2.424243211746216],[0.08854510358665653],[-1.9873242378234863],[-2.26607084274292],[0.1037189084117353],0.08854510358665653,0.08854510358665653,0.1037189084117353,0.8537026174162673,-2.424243211746216,-2.424243211746216,1.0698002754458635
google/flan-t5-xl,0.1,2,10,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jane skipped her English class every now and then. She began to worry about her final exam.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,1,target,incoherent,competitor,1,[-2.1343207359313965],[0.11832493696337039],[-3.409724473953247],[-2.26607084274292],[0.1037189084117353],0.11832493696337039,0.11832493696337039,0.1037189084117353,1.1408231996971392,-2.1343207359313965,-2.1343207359313965,0.9418596699068555
google/flan-t5-xl,0.1,2,10,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jane skipped her English class every now and then. She began to worry about her final exam.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. incoherent
2. coherent
Your answer:
",Is this story coherent or not?,2,competitor,coherent,target,2,[-2.1343207359313965],[0.11832493696337039],[-1.9873242378234863],[-2.26607084274292],[0.1037189084117353],0.11832493696337039,0.11832493696337039,0.1037189084117353,1.1408231996971392,-2.1343207359313965,-2.1343207359313965,0.9418596699068555
google/flan-t5-xl,0.1,2,11,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Vicky was planning her first trip to Europe. She put her favorite bathing suit in her bag.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,1,target,coherent,target,1,[-1.7071559429168701],[0.1813809174306756],[-3.409724473953247],[-1.6567403078079224],[0.19075978591860202],0.1813809174306756,0.1813809174306756,0.19075978591860202,0.9508341423074965,-1.7071559429168701,-1.7071559429168701,1.0304306202193234
google/flan-t5-xl,0.1,2,11,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Vicky was planning her first trip to Europe. She put her favorite bathing suit in her bag.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,2,competitor,incoherent,competitor,2,[-1.7071559429168701],[0.1813809174306756],[-1.9873242378234863],[-1.6567403078079224],[0.19075978591860202],0.1813809174306756,0.1813809174306756,0.19075978591860202,0.9508341423074965,-1.7071559429168701,-1.7071559429168701,1.0304306202193234
google/flan-t5-xl,0.1,2,12,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Dick tripped over a chair and hit his head. A mirror fell down and shattered on the floor. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,1,target,coherent,target,1,[-1.9694910049438477],[0.13952785713343627],[-3.409724473953247],[-1.6567403078079224],[0.19075978591860202],0.13952785713343627,0.13952785713343627,0.19075978591860202,0.7314322379926206,-1.9694910049438477,-1.9694910049438477,1.188774725683915
google/flan-t5-xl,0.1,2,12,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Dick tripped over a chair and hit his head. A mirror fell down and shattered on the floor. ","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,2,competitor,incoherent,competitor,2,[-1.9694910049438477],[0.13952785713343627],[-1.9873242378234863],[-1.6567403078079224],[0.19075978591860202],0.13952785713343627,0.13952785713343627,0.19075978591860202,0.7314322379926206,-1.9694910049438477,-1.9694910049438477,1.188774725683915
google/flan-t5-xl,0.1,2,13,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The Senator wanted to practice corporate law. He decided not to run for re-election.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,1,target,coherent,target,1,[-1.676518440246582],[0.18702397902902634],[-3.409724473953247],[-1.6567403078079224],[0.19075978591860202],0.18702397902902634,0.18702397902902634,0.19075978591860202,0.9804161717230604,-1.676518440246582,-1.676518440246582,1.011937979866518
google/flan-t5-xl,0.1,2,13,coherence,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The Senator wanted to practice corporate law. He decided not to run for re-election.","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Choose one of the following options and return the label of that option.
1. coherent
2. incoherent
Your answer:
",Is this story coherent or not?,2,competitor,incoherent,competitor,2,[-1.676518440246582],[0.18702397902902634],[-1.9873242378234863],[-1.6567403078079224],[0.19075978591860202],0.18702397902902634,0.18702397902902634,0.19075978591860202,0.9804161717230604,-1.676518440246582,-1.676518440246582,1.011937979866518
