phenomenon,item_number,prompt,randomized_option_order,randomized_labels_complex,randomized_true_answer,seed,target,competitor,distractor_plausibleliteral,distractor_literal,distractor_nonsequitut
MPV,1,"Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","[3, 5, 1, 4, 2]","['IncorrectNonLiteral', 'IncorrectLiteral', 'IncorrectPlausibleLiteral', 'IncorrectNonSequitur', 'CorrectNonLiteral']",5,0,The town is not one of the cleanest ones.,The people living in this town are very welcoming.,All houses in this town have chimneys.,The town is a chimney.,Mary found a job at a company installing chimneys.
MPV,2,"Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","[3, 4, 2, 1, 5]","['IncorrectNonLiteral', 'IncorrectNonSequitur', 'CorrectNonLiteral', 'IncorrectPlausibleLiteral', 'IncorrectLiteral']",3,0,Mike and his wife are very much in love with each other.,Mike is worried that the bird flu virus affected their baby.,The baby in his wife's womb is the size of an egg.,Their baby is an egg.,Their baby is growing bigger every day.
MPV,3,"Andrew and Bob were discussing the investment company where Andrew works. Bob said: ""The investors are squirrels collecting nuts."" What does Bob mean?","[4, 3, 2, 5, 1]","['IncorrectNonSequitur', 'IncorrectNonLiteral', 'CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectPlausibleLiteral']",3,0,They buy stocks hoping for future profit.,The investors dress and eat well.,The investors enjoy picking nuts as much as squirrels do.,Squirrels were hired to work in the company.,Bob is allergic to nuts.
MPV,4,"Mark asked his mom what she thought about his new girlfriend. She replied: ""This young lady is 100% polyester."" What does she mean?","[2, 5, 4, 1, 3]","['CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectNonSequitur', 'IncorrectPlausibleLiteral', 'IncorrectNonLiteral']",1,0,His girlfriend's behavior was not very natural.,The girl made a good impression on Mark's mom.,His girlfriend wore clothes made of polyester.,His girlfriend is made of polyester.,His girlfriend has a beautiful smile.
MPV,5,"Mary said to her husband: ""Our kids are pieces of taffy."" What did she mean? ","[1, 4, 5, 2, 3]","['IncorrectPlausibleLiteral', 'IncorrectNonSequitur', 'IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral']",4,0, Their kids always stick together.,Their kids need to stick to a diet.,Their kids eat too many candies.,Their kids are sweet candy.,Their kids argue too much.
MPV,6,"Mark saw a lady at the party and said to his friend: ""This lady's jewels are bursting stars."" What did Mark mean?","[4, 2, 5, 3, 1]","['IncorrectNonSequitur', 'CorrectNonLiteral', 'IncorrectLiteral', 'IncorrectNonLiteral', 'IncorrectPlausibleLiteral']",2,0,The lady's jewelry is shining very brightly.,The lady's jewelry broke into many pieces.,The lady wears some jewelry designed to look like stars.,The lady wears bursting stars.,Mark did not like the lady's jewelry.
MPV,7,"Ben was telling his friend about the fashion show that he attended. He said: ""This model was the blue canary at the show."" What did Ben mean? ","[5, 2, 3, 4, 1]","['IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectNonSequitur', 'IncorrectPlausibleLiteral']",2,0,The model stood out at the fashion show.,The model's skin turned blue.,The model wore a costume made of blue feathers.,The blue canary worked as a model at the show.,The model came to the show with her pet bird.
MPV,8,"Mary said to her granddaughter: ""The queen is our nation's aunt."" What did Mary mean?","[4, 1, 5, 3, 2]","['IncorrectNonSequitur', 'IncorrectPlausibleLiteral', 'IncorrectLiteral', 'IncorrectNonLiteral', 'CorrectNonLiteral']",5,0,The queen cares about you from afar.,People of the country love the pies that the queen bakes.,Mary and her family are related to the queen.,The queen is an aunt of everyone living in the country.,The queen has a lot of relatives.
MPV,9,"Abby and Kyle were walking along the promenade one night, and they saw a couple smiling at each other. Abby noted: ""This sunset sings to the lovers."" What did Abby mean?","[5, 4, 2, 3, 1]","['IncorrectLiteral', 'IncorrectNonSequitur', 'CorrectNonLiteral', 'IncorrectNonLiteral', 'IncorrectPlausibleLiteral']",3,0,It was a very romantic night.,It was too dark to see any singers performing on the promenade.,There were a lot of musicians and singers performing on the promenade.,He could hear the sun singing songs.,Abby wants to attend a concert with Kyle.
MPV,10,"Jessica was giving a talk that her mom attended. After the talk, Jessica's mom called her husband and said: ""Jessica sailed towards the finish."" What did she mean?","[4, 3, 1, 2, 5]","['IncorrectNonLiteral', 'IncorrectPlausibleLiteral', 'IncorrectLiteral', 'CorrectNonLiteral', 'IncorrectNonSequitur']",4,0,Jessica finished her talk successfully.,Jessica's talk was a disaster.,Jessica got interested in sailing.,Jessica finished the sailing race.,Jessica was giving a talk about sailing.
