model_name;temperature;phenomenon;decoding_scheme;question;seed;item_id;prompt;response;response_option;target;competitor;distractor_lexical_overlap;distractor_associative
google/flan-t5-xl;9;indirect_speech;greedy;;0;1;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?


Your answer:
";He is worried about his appearance.;competitor;He wants his wife to iron his shirt.;He is unhappy that his shirt is wrinkled.;He got this shirt on sale.;"He got his shoes on sale.
"
google/flan-t5-xl;9;indirect_speech;greedy;;0;2;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?


Your answer:
";He was worried about her being late for her appointment.;target;He does not want Cindy to start painting.;He has some doubts whether Cindy should be painting.;He wants Cindy to paint a picture for the meeting.;He wants Cindy to create a sculpture.
google/flan-t5-xl;9;indirect_speech;greedy;;0;3;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?


Your answer:
";She has to clean up first.;target;Cindy might help her clean up the house.;Cindy's brother creates a lot of mess.;Cindy forgot to purchase a new toy for her brother.;Cindy forgot to invite her brother to the movies.
google/flan-t5-xl;9;indirect_speech;greedy;;0;4;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Matt was telling Cindy about a scary movie that he saw. Cindy was listening to him for a while and then responded, ""Can we talk about something else?"" What might she be trying to convey?


Your answer:
";she wants to hear something else;target;She wishes that he stopped telling her about the movie.;She wonders whether Matt knows something else interesting that he can share with her.;She wishes to have a date with Matt.;She wishes to build a kite with Matt.
google/flan-t5-xl;9;indirect_speech;greedy;;0;5;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy and Matt had been good friends for a long time. Recently Cindy started teasing Matt a lot every day. He got mad and said, ""My friends do not say hurtful things to me."" What might he be trying to convey?


Your answer:
";He was upset about being teased.;target;Cindy should stop teasing him if she wants to be his friend.;His friends are very friendly.;Cindy should meet Matt's other friends.;Cindy should meet a new principal.
google/flan-t5-xl;9;indirect_speech;greedy;;0;6;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

The boys were playing around. Dan accidentally tripped Scott. Scott got very angry about falling. Dan said: ""Everybody's being wild."" What might he be trying to convey?


Your answer:
";Dan was angry because everyone was being wild.;competitor;It was not his fault.;All of the boys were not very cautious.;He likes to live in the wilderness.;He likes to live in the city.
google/flan-t5-xl;9;indirect_speech;greedy;;0;7;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Kate brought some cookies to school. Matt has a sweet tooth. He says, ""Your cookies smell delicious. They must be really tasty."" What might he be trying to convey?


Your answer:
";He wants to try the cookies.;target;He wants Kate to give him some cookies.;She is a great baker who makes good cookies.;He wants to learn how to make these cookies.;He wants to learn how to make a roast beef.
google/flan-t5-xl;9;indirect_speech;greedy;;0;8;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

The teacher said that she was feeling sick today and asked the kids to work in groups quietly. Matt kept talking loudly with his friends. The teacher said, ""Matt, I think you are being unfair to me now."" What might she be trying to convey?


Your answer:
";She wants him to do his homework with quieter group members.;target;She wants him to stop talking.;Matt is unfair to the teacher.;She wants kids to work on a project about fairness.;She wants kids to work on a project about dinosaurs.
google/flan-t5-xl;9;indirect_speech;greedy;;0;9;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy was having a slumber party with two of her friends. It was very late, but they kept talking and laughing. Her dad came in and said, ""I would like to go to bed but it is too loud in here."" What might he be trying to convey?


Your answer:
";he does not like the noise;target;He wants the girls to be quiet.;He is too tired and the girls are making a lot of noise.;He wants the girls to listen to some music.;He wants the girls to go shopping.
google/flan-t5-xl;9;indirect_speech;greedy;;0;10;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Chad and Matt were walking. The sidewalk was being fixed and there was lots of shattered glass on the sidewalk. Matt was not paying attention to the sidewalk. Chad said, ""I guess you like walking on shattered glass."" What might he be trying to convey?


Your answer:
";Matt should be paying attention.;target;Matt should look around where he is walking.;Walking on shattered glass is something that Matt enjoys.;Matt should buy new shoes.;Matt should get a new pet.
google/flan-t5-xl;9;indirect_speech;greedy;;0;11;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard is driving his wife home from church. On the way home they want to stop at a new gourmet grocery store at 2401 Main Street. It is in a part of town that they are not familiar with. Richard points at a building and asks his wife: ""Can you see that house number?"" What might he be trying to convey?


Your answer:
";He is confused.;competitor;He wants her to tell him the house number.;He wants to know how good her vision is.;He wants her to see an eye doctor.;He wants her to see a dentist.
google/flan-t5-xl;9;indirect_speech;greedy;;0;12;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

It has been a hot day. Juan's wife is leaving the house and says to him, ""Can you water the lawn?'' What might he be trying to convey?


Your answer:
";He wants water for himself;distractor_associative;She wants to know whether he has time and a desire to water the lawn.;She wants to know whether he is allowed to water the lawn.;She wants to know whether he will water the plants in the office.;She wants to know whether he won the golf tournament.
google/flan-t5-xl;9;indirect_speech;greedy;;0;13;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

A house painter is carrying a heavy tray of paints. A small ladder is blocking the sidewalk and the painter cannot get around it. He calls out to his brother: ""Can you move the ladder?""  What might he be trying to convey?


Your answer:
";He needs help moving it.;target;He wants him to move the ladder.;He wants to know whether his brother is strong enough to move the ladder.;He wants him to bring brushes from the truck.;He wants him to bring tires from the truck.
google/flan-t5-xl;9;indirect_speech;greedy;;0;14;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Brad is interested in basketball and wants to join his school's basketball team. One day he comes to the basketball court and asks the players there: ""Do you think I can play basketball with you?"" What might he be trying to convey?


Your answer:
";That he wants to join them.;target;He wants to join their game.;He wants to know their opinion.;He wants to get a new uniform.;He wants to get good grades on his math test.
google/flan-t5-xl;9;indirect_speech;greedy;;0;15;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jane is watching TV while her mom is cooking dinner in the kitchen. The doorbell rings. Jane's mother says: ""Someone is at the door"". What might she be trying to convey?


Your answer:
";She needs to cook something.;competitor;She wants Jane to open the door.;She suspects that someone is standing at their door.;She wants Jane to help her with cooking.;She wants Jane to help her with painting the house.
google/flan-t5-xl;9;indirect_speech;greedy;;0;16;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Adam and Bill are working together on a project. Adam decides to take a break, and opens a window. A cold breeze blows in. Bill says, ""I am getting cold."" What might he be trying to convey?


Your answer:
";He wants to go back inside.;distractor_lexical_overlap;He wants Adam to close the window.;He wants to describe his physical state to Adam.;He wants Adam to get back to the project.;He wants Adam to invite Julie to the movies.
google/flan-t5-xl;9;indirect_speech;greedy;;0;17;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark invited Josh to his house to watch a football game. Josh brings a six-pack of beer with him. Josh picks up one bottle, examines it and then says to Mark: ""Hmm, this isn't a twist off."" What might he be trying to convey?


Your answer:
";that he thinks the beer isn't good;distractor_lexical_overlap;He wants Mark to get a bottle opener.;He is upset that they will not be able to drink beer.;He wants Mark to bring some wine.;He wants Mark to bring some pancakes.
google/flan-t5-xl;9;indirect_speech;greedy;;0;18;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Natalie returns home to find that her partner, Alex, created a big mess on the table. Natalie says: ""Alex, my parents are going to be here any minute"" What might she be trying to convey?


Your answer:
";Alex must clean up his act.;target;She wants Alex to clean the mess.;She wants Alex to know when her parents will arrive.;She wants Alex to prepare some dinner.;She wants Alex to apply for a job.
google/flan-t5-xl;9;indirect_speech;greedy;;0;19;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Nate is about to leave the house. His wife points at a full bag of garbage and asks: ""Are you going out?"" What might she be trying to convey?


Your answer:
";Yes, Nate will be taking out the garbage.;target;She wants Nate to take the garbage out.;She wants to know Nate's plans.;She wants Nate to spend more time with the family.;She wants Nate to bring his friends over.
