model_name;temperature;phenomenon;decoding_scheme;question;seed;item_id;prompt;response;response_option;target;competitor;distractor_plausibleliteral;distractor_literal;distractor_nonsequitut
google/flan-t5-xl;9;metaphor;greedy;;0;1;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?


Your answer:
";she doesn't like the town;target;The town is not one of the cleanest ones.;The people living in this town are very welcoming.;All houses in this town have chimneys.;The town is a chimney.;Mary found a job at a company installing chimneys.
google/flan-t5-xl;9;metaphor;greedy;;0;2;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?


Your answer:
";a gift to his wife;distractor_nonsequitut;Mike and his wife are very much in love with each other.;Mike is worried that the bird flu virus affected their baby.;The baby in his wife's womb is the size of an egg.;Their baby is an egg.;Their baby is growing bigger every day.
google/flan-t5-xl;9;metaphor;greedy;;0;3;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Bob were discussing the investment company where Andrew works. Bob said: ""The investors are squirrels collecting nuts."" What does Bob mean?


Your answer:
";The investors are too quick to cash in and are interested in short term gains.;target;They buy stocks hoping for future profit.;The investors dress and eat well.;The investors enjoy picking nuts as much as squirrels do.;Squirrels were hired to work in the company.;Bob is allergic to nuts.
google/flan-t5-xl;9;metaphor;greedy;;0;4;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark asked his mom what she thought about his new girlfriend. She replied: ""This young lady is 100% polyester."" What does she mean?


Your answer:
";the outfit is fake;distractor_plausibleliteral;His girlfriend's behavior was not very natural.;The girl made a good impression on Mark's mom.;His girlfriend wore clothes made of polyester.;His girlfriend is made of polyester.;His girlfriend has a beautiful smile.
google/flan-t5-xl;9;metaphor;greedy;;0;5;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary said to her husband: ""Our kids are pieces of taffy."" What did she mean? 


Your answer:
";She had children that were weak and easily broken.;distractor_nonsequitut; Their kids always stick together.;Their kids need to stick to a diet.;Their kids eat too many candies.;Their kids are sweet candy.;Their kids argue too much.
google/flan-t5-xl;9;metaphor;greedy;;0;6;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark saw a lady at the party and said to his friend: ""This lady's jewels are bursting stars."" What did Mark mean?


Your answer:
";That the lady's jewels were beautiful.;target;The lady's jewelry is shining very brightly.;The lady's jewelry broke into many pieces.;The lady wears some jewelry designed to look like stars.;The lady wears bursting stars.;Mark did not like the lady's jewelry.
google/flan-t5-xl;9;metaphor;greedy;;0;7;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ben was telling his friend about the fashion show that he attended. He said: ""This model was the blue canary at the show."" What did Ben mean? 


Your answer:
";This model was a surprise.;target;The model stood out at the fashion show.;The model's skin turned blue.;The model wore a costume made of blue feathers.;The blue canary worked as a model at the show.;The model came to the show with her pet bird.
google/flan-t5-xl;9;metaphor;greedy;;0;8;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary said to her granddaughter: ""The queen is our nation's aunt."" What did Mary mean?


Your answer:
";Mary was telling her to look up to the queen.;distractor_nonsequitut;The queen cares about you from afar.;People of the country love the pies that the queen bakes.;Mary and her family are related to the queen.;The queen is an aunt of everyone living in the country.;The queen has a lot of relatives.
google/flan-t5-xl;9;metaphor;greedy;;0;9;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Abby and Kyle were walking along the promenade one night, and they saw a couple smiling at each other. Abby noted: ""This sunset sings to the lovers."" What did Abby mean?


Your answer:
";She was amazed at how beautiful the sunset was.;target;It was a very romantic night.;It was too dark to see any singers performing on the promenade.;There were a lot of musicians and singers performing on the promenade.;He could hear the sun singing songs.;Abby wants to attend a concert with Kyle.
google/flan-t5-xl;9;metaphor;greedy;;0;10;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jessica was giving a talk that her mom attended. After the talk, Jessica's mom called her husband and said: ""Jessica sailed towards the finish."" What did she mean?


Your answer:
";Jessica's mom told her husband she was good.;target;Jessica finished her talk successfully.;Jessica's talk was a disaster.;Jessica got interested in sailing.;Jessica finished the sailing race.;Jessica was giving a talk about sailing.
google/flan-t5-xl;9;metaphor;greedy;;0;11;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jody and Mark were discussing their daughter's behavior. Mark said: ""She is walking all over her brothers."" What did Mark mean?


Your answer:
";She is taking advantage of her brothers.;target;She can make her brothers do whatever she wishes.;Their daughter should be less aggressive towards her brothers.;Their daughter finally started to walk.;She is not paying attention when walking and often steps on her little brothers by accident.;She enjoys long walks with her brothers.
google/flan-t5-xl;9;metaphor;greedy;;0;12;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

During a business meeting, the general manager of the company said to the financial manager: ""The new accountant that you hired is a juggler."" What did the general manager mean? 


Your answer:
";He thought the accountant was a con artist who made quick returns on his taxes.;target;The newly hired person is good at manipulating many things at once.;The newly hired person dressed up as a clown.;The newly hired person used to work in a circus show.;The newly hired person can toss and catch objects in the air.;The newly hired person has too many excuses for being late.
