model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is not one of the cleanest ones.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.375193429792811,target,"[[-8.749720573425293], [-9.926715850830078], [-9.835165023803711], [-9.281867980957031], [-10.837175369262695]]","[[], [], [], [], []]","[[-8.496273040771484], [-9.811559677124023], [-9.311623573303223], [-7.636411190032959], [-10.227287292480469]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The people living in this town are very welcoming.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.159512771374835,target,"[[-7.760897636413574], [-10.042387962341309], [-11.851838111877441], [-12.781439781188965], [-12.830260276794434]]","[[], [], [], [], []]","[[-10.30805492401123], [-11.658087730407715], [-11.053844451904297], [-7.977721214294434], [-9.30777645111084]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,All houses in this town have chimneys.,distractor_plausibleliteral,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.8226529204509272,target,"[[-7.9581756591796875], [-9.447334289550781], [-9.819177627563477], [-9.676352500915527], [-10.679871559143066]]","[[], [], [], [], []]","[[-8.645949363708496], [-10.186763763427734], [-10.021917343139648], [-7.996152877807617], [-9.574811935424805]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is a chimney.,distractor_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.4881862661275915,target,"[[-7.333353519439697], [-9.65858268737793], [-10.398033142089844], [-9.837701797485352], [-10.40774154663086]]","[[], [], [], [], []]","[[-7.198485374450684], [-10.45517635345459], [-12.099575996398926], [-12.659960746765137], [-12.513506889343262]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mary found a job at a company installing chimneys.,distractor_nonsequitut,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.2933442279185374,target,"[[-8.172395706176758], [-10.100719451904297], [-11.22221565246582], [-11.998010635375977], [-12.463493347167969]]","[[], [], [], [], []]","[[-8.372169494628906], [-9.883567810058594], [-9.919424057006836], [-8.404101371765137], [-9.923789978027344]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike and his wife are very much in love with each other.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.8106333553635308,target,"[[-8.89760684967041], [-10.434366226196289], [-10.256355285644531], [-8.821470260620117], [-10.107610702514648]]","[[], [], [], [], []]","[[-9.963058471679688], [-11.554143905639648], [-10.95528793334961], [-8.03622055053711], [-9.463577270507812]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike is worried that the bird flu virus affected their baby.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.2911175551715843,target,"[[-8.188272476196289], [-10.117305755615234], [-11.252111434936523], [-12.08382797241211], [-12.432149887084961]]","[[], [], [], [], []]","[[-8.288196563720703], [-9.796395301818848], [-9.516547203063965], [-7.802866458892822], [-9.667850494384766]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.165713629164053,target,"[[-8.30282211303711], [-10.114944458007812], [-10.08516788482666], [-9.129043579101562], [-10.732725143432617]]","[[], [], [], [], []]","[[-7.5803914070129395], [-9.17495059967041], [-9.737256050109863], [-8.932112693786621], [-10.147674560546875]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is an egg.,distractor_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9204006873574322,target,"[[-7.8088531494140625], [-9.71929931640625], [-10.140459060668945], [-9.164288520812988], [-10.25208854675293]]","[[], [], [], [], []]","[[-7.213820457458496], [-10.331352233886719], [-11.780155181884766], [-12.171182632446289], [-12.154504776000977]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is growing bigger every day.,distractor_nonsequitut,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.236261561192839,target,"[[-7.904711723327637], [-10.162120819091797], [-11.543025016784668], [-11.871203422546387], [-12.083778381347656]]","[[], [], [], [], []]","[[-9.587321281433105], [-11.031441688537598], [-10.549992561340332], [-7.75474739074707], [-9.288644790649414]]"
google/flan-t5-xl,0.1,0,3,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Andrew and Bob were discussing the investment company where Andrew works. Bob said: ""The investors are squirrels collecting nuts."" What does Bob mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,They buy stocks hoping for future profit.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.543635403874769,target,"[[-8.238811492919922], [-9.629288673400879], [-9.612963676452637], [-8.413925170898438], [-10.21314525604248]]","[[], [], [], [], []]","[[-9.413041114807129], [-10.927828788757324], [-10.272006034851074], [-7.585722923278809], [-9.706790924072266]]"
google/flan-t5-xl,0.1,0,3,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Andrew and Bob were discussing the investment company where Andrew works. Bob said: ""The investors are squirrels collecting nuts."" What does Bob mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The investors dress and eat well.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.154773970260761,target,"[[-7.782094478607178], [-10.003061294555664], [-11.972192764282227], [-13.042547225952148], [-13.023958206176758]]","[[], [], [], [], []]","[[-8.659919738769531], [-10.036750793457031], [-9.73690414428711], [-8.158914566040039], [-9.825353622436523]]"
