model_name,phenomenon,dependent_variable,metric
google/flan-t5-xl,coherence,0.475,rating
google/flan-t5-xl,deceits,0.05,rating
google/flan-t5-xl,humour,0.24,rating
google/flan-t5-xl,irony,0.48,rating
google/flan-t5-xl,maxims,0.10526315789473684,rating
google/flan-t5-xl,metaphor,0.25,rating
gpt-3.5-turbo-instruct,coherence,0.375,rating
gpt-3.5-turbo-instruct,deceits,0.6,rating
gpt-3.5-turbo-instruct,humour,0.4,rating
gpt-3.5-turbo-instruct,indirect_speech,0.7,rating
gpt-3.5-turbo-instruct,irony,0.44,rating
gpt-3.5-turbo-instruct,maxims,0.42105263157894735,rating
gpt-3.5-turbo-instruct,metaphor,0.7,rating
meta-llama/Llama-2-7b-hf,coherence,0.5,rating
meta-llama/Llama-2-7b-hf,humour,0.24,rating
meta-llama/Llama-2-7b-hf,indirect_speech,0.15,rating
meta-llama/Llama-2-7b-hf,irony,0.36,rating
meta-llama/Llama-2-7b-hf,maxims,0.21052631578947367,rating
meta-llama/Llama-2-7b-hf,metaphor,0.15,rating
text-davinci-002,coherence,0.5,rating
text-davinci-002,deceits,0.45,rating
text-davinci-002,humour,0.56,rating
text-davinci-002,indirect_speech,0.85,rating
text-davinci-002,irony,0.2,rating
text-davinci-002,maxims,0.3157894736842105,rating
text-davinci-002,metaphor,0.6,rating
