phenomenon,model_name,metric,dependent_variable
coherence,google/flan-t5-xl,free,0.8
coherence,gpt-3.5-turbo-instruct,free,0.78
coherence,meta-llama/Llama-2-7b-hf,free,0.305
coherence,text-davinci-002,free,0.605
deceits,google/flan-t5-xl,free,0.4
deceits,gpt-3.5-turbo-instruct,free,0.8
deceits,meta-llama/Llama-2-7b-hf,free,0.07
deceits,text-davinci-002,free,0.66
humour,google/flan-t5-xl,free,0.04
humour,gpt-3.5-turbo-instruct,free,0.424
humour,text-davinci-002,free,0.32
indirect_speech,google/flan-t5-xl,free,0.55
indirect_speech,gpt-3.5-turbo-instruct,free,0.83
indirect_speech,text-davinci-002,free,0.55
irony,google/flan-t5-xl,free,0.08
irony,gpt-3.5-turbo-instruct,free,0.744
irony,meta-llama/Llama-2-7b-hf,free,0.12
irony,text-davinci-002,free,0.528
maxims,google/flan-t5-xl,free,0.21052631578947367
maxims,gpt-3.5-turbo-instruct,free,0.49473684210526314
maxims,meta-llama/Llama-2-7b-hf,free,0.07368421052631578
maxims,text-davinci-002,free,0.5684210526315789
metaphor,google/flan-t5-xl,free,0.59
metaphor,gpt-3.5-turbo-instruct,free,0.89
metaphor,meta-llama/Llama-2-7b-hf,free,0.16
metaphor,text-davinci-002,free,1.0
