model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,response_option,target,competitor,distractor_plausibleliteral,distractor_literal,distractor_nonsequitut
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,1,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?


Your answer:
","
It is difficult to say for certain without more context, but it is possible that Mary means that the town is constantly busy and bustling, like a chimney constantly emitting smoke. Alternatively, she could be saying that the town is old and run-down,",target,The town is not one of the cleanest ones.,The people living in this town are very welcoming.,All houses in this town have chimneys.,The town is a chimney.,Mary found a job at a company installing chimneys.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,2,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?


Your answer:
","
Mike is expressing his love and excitement for their upcoming baby by comparing it to a delicate and precious lovebird's egg. He is conveying that their baby is something to be cherished and protected, just like a lovebird's egg.",target,Mike and his wife are very much in love with each other.,Mike is worried that the bird flu virus affected their baby.,The baby in his wife's womb is the size of an egg.,Their baby is an egg.,Their baby is growing bigger every day.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,3,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Bob were discussing the investment company where Andrew works. Bob said: ""The investors are squirrels collecting nuts."" What does Bob mean?


Your answer:
","
Bob is most likely implying that the investors at Andrew's company are constantly hoarding and saving their money, similar to how squirrels collect and store nuts for the winter. This could suggest that the investors are being overly cautious and not taking enough risks",target,They buy stocks hoping for future profit.,The investors dress and eat well.,The investors enjoy picking nuts as much as squirrels do.,Squirrels were hired to work in the company.,Bob is allergic to nuts.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,4,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark asked his mom what she thought about his new girlfriend. She replied: ""This young lady is 100% polyester."" What does she mean?


Your answer:","
The mom is most likely implying that the girlfriend is not genuine or authentic, and is instead artificial or fake like polyester fabric. She may be suggesting that the girlfriend is not a good match for Mark or that she has some negative qualities.",target,His girlfriend's behavior was not very natural.,The girl made a good impression on Mark's mom.,His girlfriend wore clothes made of polyester.,His girlfriend is made of polyester.,His girlfriend has a beautiful smile.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,5,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary said to her husband: ""Our kids are pieces of taffy."" What did she mean? 


Your answer:
","
It is likely that Mary is using a metaphor to describe her children. Taffy is a type of candy that is soft and pliable, and can be stretched and molded into different shapes. By saying her kids are ""pieces of taff",distractor_plausibleliteral, Their kids always stick together.,Their kids need to stick to a diet.,Their kids eat too many candies.,Their kids are sweet candy.,Their kids argue too much.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,6,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark saw a lady at the party and said to his friend: ""This lady's jewels are bursting stars."" What did Mark mean?


Your answer:
","
Mark is trying to convey that the lady's jewelry is very eye-catching and beautiful, resembling the brightness and brilliance of stars bursting in the sky. He is complimenting the lady's jewelry and possibly also implying that she herself is stunning and stands out",target,The lady's jewelry is shining very brightly.,The lady's jewelry broke into many pieces.,The lady wears some jewelry designed to look like stars.,The lady wears bursting stars.,Mark did not like the lady's jewelry.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,7,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ben was telling his friend about the fashion show that he attended. He said: ""This model was the blue canary at the show."" What did Ben mean? 


Your answer:
","
Ben meant that the model stood out and was the most eye-catching and impressive one at the fashion show, just like a blue canary would stand out among other birds.",target,The model stood out at the fashion show.,The model's skin turned blue.,The model wore a costume made of blue feathers.,The blue canary worked as a model at the show.,The model came to the show with her pet bird.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,8,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary said to her granddaughter: ""The queen is our nation's aunt."" What did Mary mean?


Your answer:
","
Mary is trying to convey that the queen is a beloved and respected figure in their nation, similar to how an aunt is a beloved and respected family member.",distractor_plausibleliteral,The queen cares about you from afar.,People of the country love the pies that the queen bakes.,Mary and her family are related to the queen.,The queen is an aunt of everyone living in the country.,The queen has a lot of relatives.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,9,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Abby and Kyle were walking along the promenade one night, and they saw a couple smiling at each other. Abby noted: ""This sunset sings to the lovers."" What did Abby mean?


Your answer:
","
Abby is trying to convey that the sunset is a beautiful and romantic sight that is bringing joy and happiness to the couple. She is using the metaphor of the sunset ""singing"" to emphasize the emotional impact it has on the lovers.",target,It was a very romantic night.,It was too dark to see any singers performing on the promenade.,There were a lot of musicians and singers performing on the promenade.,He could hear the sun singing songs.,Abby wants to attend a concert with Kyle.
gpt-3.5-turbo-instruct,0.1,metaphor,greedy,,0,10,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jessica was giving a talk that her mom attended. After the talk, Jessica's mom called her husband and said: ""Jessica sailed towards the finish."" What did she mean?


Your answer:
","
It seems that Jessica's mom was proud of her daughter's performance during the talk and was conveying that she did a great job and successfully completed it. The phrase ""sailed towards the finish"" suggests that Jessica's presentation was smooth and effortless,",target,Jessica finished her talk successfully.,Jessica's talk was a disaster.,Jessica got interested in sailing.,Jessica finished the sailing race.,Jessica was giving a talk about sailing.
